stat,pair,arm,simulated,draw_sd,model,observed,n
name_repetition,costly_relief_vs_inert,random,0.5979579207920792,0.010606803891616777,M1Q,0.5736386138613861,1616
name_repetition,costly_relief_vs_inert,unsteered,0.628960396039604,0.008907452581904217,M1Q,0.6639851485148515,1616
name_repetition,costly_relief_vs_inert,works,0.6242883663366336,0.010386332210044393,M1Q,0.619430693069307,1616
name_repetition,destructive_relief_vs_inert,placebo,0.6940903465346534,0.009050823134746682,M1Q,0.7090570719602978,1612
name_repetition,destructive_relief_vs_inert,random,0.6262066831683168,0.010504416223246722,M1Q,0.6319702602230484,1614
name_repetition,destructive_relief_vs_inert,unsteered,0.68490099009901,0.008450446892207149,M1Q,0.7289603960396039,1616
name_repetition,destructive_relief_vs_inert,works,0.6267017326732673,0.00976546074259881,M1Q,0.6652227722772277,1616
name_repetition,kidspics_relief_vs_inert,placebo,0.705259900990099,0.010237451718250438,M1Q,0.7351485148514851,1616
name_repetition,kidspics_relief_vs_inert,random,0.6490408415841584,0.010877303307244124,M1Q,0.6627475247524752,1616
name_repetition,kidspics_relief_vs_inert,unsteered,0.699535891089109,0.007220642787015107,M1Q,0.7388613861386139,1616
name_repetition,kidspics_relief_vs_inert,works,0.599009900990099,0.008389169333115806,M1Q,0.635519801980198,1616
name_repetition,label_free,placebo,0.8692008486562942,0.006995320940861484,M1Q,0.9112446958981613,2828
name_repetition,label_free,random,0.23069306930693073,0.0087758397833516,M1Q,0.27523910733262485,2823
name_repetition,label_free,unsteered,0.1705799151343706,0.006794405162362346,M1Q,0.0983026874115983,2828
name_repetition,label_free,works,0.6986386138613861,0.011439703860351976,M1Q,0.6364922206506365,2828
name_repetition,relief_vs_grant,placebo,0.7043316831683168,0.013336569153770277,M1Q,0.7252475247524752,1616
name_repetition,relief_vs_grant,random,0.6071163366336634,0.013567742480650048,M1Q,0.5191831683168316,1616
name_repetition,relief_vs_grant,unsteered,0.5161509900990099,0.014898770694055194,M1Q,0.5278465346534653,1616
name_repetition,relief_vs_grant,works,0.6534034653465347,0.018590285002232414,M1Q,0.6082920792079208,1616
name_repetition,relief_vs_helpful,placebo,0.7158106435643564,0.00391821330066197,M1Q,0.7277227722772277,1616
name_repetition,relief_vs_helpful,random,0.6706064356435644,0.010221690265204801,M1Q,0.6540841584158416,1616
name_repetition,relief_vs_helpful,unsteered,0.6976485148514852,0.00508861515540275,M1Q,0.719059405940594,1616
name_repetition,relief_vs_helpful,works,0.7093440594059406,0.00530083617426968,M1Q,0.7172029702970297,1616
name_repetition,relief_vs_inert,placebo,0.7197091584158416,0.008500087463657666,M1Q,0.755569306930693,1616
name_repetition,relief_vs_inert,random,0.6882735148514851,0.006624999568017484,M1Q,0.7233910891089109,1616
name_repetition,relief_vs_inert,unsteered,0.7063737623762376,0.006157100477144926,M1Q,0.7017326732673267,1616
name_repetition,relief_vs_inert,works,0.7244740099009901,0.009888514400969595,M1Q,0.7636138613861386,1616
